object,id,created_time,last_edited_time,cover,archived,in_trash,url,public_url,created_by.object,created_by.id,last_edited_by.object,last_edited_by.id,icon.type,icon.external.url,parent.type,parent.database_id,properties.Ville.id,properties.Ville.type,properties.Ville.select.id,properties.Ville.select.name,properties.Ville.select.color,properties.Niveau d’effort.id,properties.Niveau d’effort.type,properties.Niveau d’effort.select,properties.Classe.id,properties.Classe.type,properties.Classe.select.id,properties.Classe.select.name,properties.Classe.select.color,properties.Date de fin.id,properties.Date de fin.type,properties.Date de fin.date.start,properties.Date de fin.date.end,properties.Date de fin.date.time_zone,properties.Total.id,properties.Total.type,properties.Total.formula.type,properties.Total.formula.number,properties.Ecole.id,properties.Ecole.type,properties.Ecole.select.id,properties.Ecole.select.name,properties.Ecole.select.color,properties.Description.id,properties.Description.type,properties.Description.rich_text,properties.Nombre heures.id,properties.Nombre heures.type,properties.Nombre heures.number,properties.Type de tâche.id,properties.Type de tâche.type,properties.Type de tâche.select,properties.En souffrance.id,properties.En souffrance.type,properties.En souffrance.formula.type,properties.En souffrance.formula.string,properties.Personne assignée.id,properties.Personne assignée.type,properties.Personne assignée.people,properties.État.id,properties.État.type,properties.État.status.id,properties.État.status.name,properties.État.status.color,properties.Facturé.id,properties.Facturé.type,properties.Facturé.checkbox,properties.ID de facture.id,properties.ID de facture.type,properties.ID de facture.select,properties.Priorité.id,properties.Priorité.type,properties.Priorité.select,properties.Tarif horaire.id,properties.Tarif horaire.type,properties.Tarif horaire.number,properties.A facturer.id,properties.A facturer.type,properties.A facturer.select.id,properties.A facturer.select.name,properties.A facturer.select.color,properties.Date de début.id,properties.Date de début.type,properties.Date de début.date.start,properties.Date de début.date.end,properties.Date de début.date.time_zone,properties.Contenu de cours.id,properties.Contenu de cours.type,properties.Contenu de cours.relation,properties.Contenu de cours.has_more,properties.Cours.id,properties.Cours.type,properties.Cours.title,properties.Type de tâche.select.id,properties.Type de tâche.select.name,properties.Type de tâche.select.color,properties.Priorité.select.id,properties.Priorité.select.name,properties.Priorité.select.color
page,20f2cdbb-4757-8111-a6ab-f2cb25193928,2025-06-11T20:24:00.000Z,2025-06-11T20:24:00.000Z,,False,False,https://www.notion.so/Accessibilit-des-Donn-es-Enjeux-Solutions-et-Bonnes-Pratiques-20f2cdbb47578111a6abf2cb25193928,,user,2f589f48-fe35-4317-8f84-345e601d4a44,user,2f589f48-fe35-4317-8f84-345e601d4a44,external,https://www.notion.so/icons/checkmark_green.svg,database_id,20f2cdbb-4757-8153-9762-e04bffc6a0ba,%3Aso%7C,select,d19a5c6d-abb8-42bd-9f83-de381e30fd50,Paris,green,%3BoM%7C,select,,%3D%3C%60%40,select,6909ef26-d42f-4677-9602-b3789e59a4b1,L3,blue,BC%7BD,date,2025-07-30,,,E%5DAO,formula,number,210,GDGQ,select,dfbc5b84-5963-4a7b-a956-031282c6f02e,ECE,red,J%3AF%5B,rich_text,[],JjGy,number,14,L~%5D%3E,select,,Ox~q,formula,string,,Qv%5Dw,people,[],S%5E%3Ed,status,2882bc4e-da9f-4eb2-a695-c9b64a3c9899,Pas commencé,default,UrM_,checkbox,False,XMVJ,select,,%5EYGk,select,,%60_Pc,number,15,dF%3AB,select,e2ed5c32-9f2f-4c45-a567-486e828fa690,False,brown,hjFQ,date,2025-07-28,,,rDxR,relation,[],False,title,title,"[{'type': 'text', 'text': {'content': 'Accessibilité des Données : Enjeux, Solutions et Bonnes Pratiques', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Accessibilité des Données : Enjeux, Solutions et Bonnes Pratiques', 'href': None}]",,,,,,
page,20f2cdbb-4757-8167-885e-c9d1683803bf,2025-06-11T20:24:00.000Z,2025-06-11T20:24:00.000Z,,False,False,https://www.notion.so/A-la-d-couverte-du-framework-TensorFlow-de-Google-pour-construire-des-mod-les-d-IA-20f2cdbb47578167885ec9d1683803bf,,user,2f589f48-fe35-4317-8f84-345e601d4a44,user,2f589f48-fe35-4317-8f84-345e601d4a44,external,https://www.notion.so/icons/checkmark_green.svg,database_id,20f2cdbb-4757-8153-9762-e04bffc6a0ba,%3Aso%7C,select,1e5efd24-9bf4-4767-91c4-5724426627d7,Noisy-le-Grand,pink,%3BoM%7C,select,,%3D%3C%60%40,select,b4f0bb80-bba0-4b83-886d-33e206db9eb6,M1,gray,BC%7BD,date,2025-07-04,,,E%5DAO,formula,number,350,GDGQ,select,e4fcc17a-ab67-43a0-a119-87b3f79e85fb,ESIEE,gray,J%3AF%5B,rich_text,[],JjGy,number,35,L~%5D%3E,select,,Ox~q,formula,string,,Qv%5Dw,people,[],S%5E%3Ed,status,2882bc4e-da9f-4eb2-a695-c9b64a3c9899,Pas commencé,default,UrM_,checkbox,False,XMVJ,select,,%5EYGk,select,,%60_Pc,number,10,dF%3AB,select,e2ed5c32-9f2f-4c45-a567-486e828fa690,False,brown,hjFQ,date,2025-06-30,,,rDxR,relation,[],False,title,title,"[{'type': 'text', 'text': {'content': "" A la découverte du framework TensorFlow de Google pour construire des modèles d'IA"", 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': "" A la découverte du framework TensorFlow de Google pour construire des modèles d'IA"", 'href': None}]",d6d80cdc-2ace-4648-91f9-0659634fdb28,Cours à préparer,yellow,31c883a7-33f8-470e-9176-8040a40106a4,Élevée,red
page,20f2cdbb-4757-811f-987b-cb418d7eb119,2025-06-11T20:24:00.000Z,2025-06-11T20:24:00.000Z,,False,False,https://www.notion.so/Programmation-avec-Python-Avanc-e-Orient-e-Data-20f2cdbb4757811f987bcb418d7eb119,,user,2f589f48-fe35-4317-8f84-345e601d4a44,user,2f589f48-fe35-4317-8f84-345e601d4a44,external,https://www.notion.so/icons/checkmark_green.svg,database_id,20f2cdbb-4757-8153-9762-e04bffc6a0ba,%3Aso%7C,select,1e5efd24-9bf4-4767-91c4-5724426627d7,Noisy-le-Grand,pink,%3BoM%7C,select,,%3D%3C%60%40,select,b4f0bb80-bba0-4b83-886d-33e206db9eb6,M1,gray,BC%7BD,date,2025-06-13,,,E%5DAO,formula,number,140,GDGQ,select,e4fcc17a-ab67-43a0-a119-87b3f79e85fb,ESIEE,gray,J%3AF%5B,rich_text,[],JjGy,number,28,L~%5D%3E,select,,Ox~q,formula,string,⏰ Past Due,Qv%5Dw,people,[],S%5E%3Ed,status,59a26032-d447-44ed-9b17-7c9dec436fd3,En cours,blue,UrM_,checkbox,False,XMVJ,select,,%5EYGk,select,,%60_Pc,number,5,dF%3AB,select,e2ed5c32-9f2f-4c45-a567-486e828fa690,False,brown,hjFQ,date,2025-06-10,,,rDxR,relation,[],False,title,title,"[{'type': 'text', 'text': {'content': 'Programmation avec Python - Avancée (Orientée Data)', 'link': None}, 'annotations': {'bold': False, 'italic': False, 'strikethrough': False, 'underline': False, 'code': False, 'color': 'default'}, 'plain_text': 'Programmation avec Python - Avancée (Orientée Data)', 'href': None}]",d6d80cdc-2ace-4648-91f9-0659634fdb28,Cours à préparer,yellow,31c883a7-33f8-470e-9176-8040a40106a4,Élevée,red
